LINE 230 : 2022-01-18 15:01:38,965 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:01:39,009 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:01:39,012 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:01:39,091 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 371 : 2022-01-18 15:01:39,107 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 389 : 2022-01-18 15:01:39,108 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 390 : 2022-01-18 15:01:39,108 [INFO    ] Analysis name: tf_targets, Enrichr Library: GO_Biological_Process_2018
LINE 230 : 2022-01-18 15:01:39,111 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:01:39,152 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:01:39,155 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:02:39,270 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 504 168
LINE 230 : 2022-01-18 15:04:51,717 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:04:51,745 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:04:51,748 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:04:51,821 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 371 : 2022-01-18 15:04:51,838 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 389 : 2022-01-18 15:04:51,839 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 390 : 2022-01-18 15:04:51,839 [INFO    ] Analysis name: tf_targets, Enrichr Library: GO_Biological_Process_2018
LINE 230 : 2022-01-18 15:04:51,841 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:04:51,870 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:04:51,872 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:04:52,053 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 230 : 2022-01-18 15:04:53,060 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:04:53,089 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=44076426&filename=GO_Biological_Process_2018.tf_targets.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:04:53,092 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:04:53,222 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=44076426&filename=GO_Biological_Process_2018.tf_targets.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 200 None
LINE 398 : 2022-01-18 15:04:53,258 [INFO    ] Save file of enrichment results: Job Id:a625ccea45e6ab1e1f484b9da728ef3c
LINE 407 : 2022-01-18 15:04:53,264 [WARNING ] Warning: No enrich terms using library GO_Biological_Process_2018 when cutoff = 0.05
LINE 408 : 2022-01-18 15:04:53,265 [INFO    ] Done.

LINE 230 : 2022-01-18 15:05:05,118 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:05:05,147 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:05:05,149 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:05:05,226 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 371 : 2022-01-18 15:05:05,243 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 389 : 2022-01-18 15:05:05,244 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 390 : 2022-01-18 15:05:05,244 [INFO    ] Analysis name: tf_targets, Enrichr Library: GO_Biological_Process_2018
LINE 230 : 2022-01-18 15:05:05,246 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:05:05,275 [DEBUG   ] http://maayanlab.cloud:80 "POST /Enrichr/addList HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:05:05,278 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:05:05,414 [DEBUG   ] https://maayanlab.cloud:443 "POST /Enrichr/addList HTTP/1.1" 200 74
LINE 230 : 2022-01-18 15:05:06,421 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:05:06,449 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/export?userListId=44076429&filename=GO_Biological_Process_2018.tf_targets.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:05:06,452 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:05:06,541 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/export?userListId=44076429&filename=GO_Biological_Process_2018.tf_targets.reports&backgroundType=GO_Biological_Process_2018 HTTP/1.1" 200 None
LINE 398 : 2022-01-18 15:05:06,578 [INFO    ] Save file of enrichment results: Job Id:f323b163845ea2aa2c7bfd86b5641549
LINE 407 : 2022-01-18 15:05:06,584 [WARNING ] Warning: No enrich terms using library GO_Biological_Process_2018 when cutoff = 0.05
LINE 408 : 2022-01-18 15:05:06,585 [INFO    ] Done.

LINE 230 : 2022-01-18 15:05:09,901 [DEBUG   ] Starting new HTTP connection (1): maayanlab.cloud:80
LINE 442 : 2022-01-18 15:05:09,929 [DEBUG   ] http://maayanlab.cloud:80 "GET /Enrichr/datasetStatistics HTTP/1.1" 308 172
LINE 943 : 2022-01-18 15:05:09,932 [DEBUG   ] Starting new HTTPS connection (1): maayanlab.cloud:443
LINE 442 : 2022-01-18 15:05:10,007 [DEBUG   ] https://maayanlab.cloud:443 "GET /Enrichr/datasetStatistics HTTP/1.1" 200 None
LINE 371 : 2022-01-18 15:05:10,024 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 389 : 2022-01-18 15:05:10,024 [DEBUG   ] Start Enrichr using library: GO_Biological_Process_2018
LINE 390 : 2022-01-18 15:05:10,024 [INFO    ] Analysis name: tf_targets, Enrichr Library: GO_Biological_Process_2018
